,time,year,month,day,latitude,longitude,mag,depth,Pais,PERIOD,MAG_SEG,NewDate,NewMonth,cluster_label,acum_day,ill_frac,r/km,dec,ra/h,ra/°,ill_frac_interpolated,r/km_interpolated,dec_interpolated,td_acc,td_acc_interpolated,ra/°_interpolated,ra/h_interpolated,DEC_SEG,DEC_INTERPOLATED_SEG,DEPTH_SEG,ACUM_DAY_SEG,LATITUDE_SEG,LONGITUDE_SEG,ILL_FRAC_SEG,ILL_FRAC_INTERPOLATED_SEG,RA/°_SEG,RA/H_SEG,R/KM_SEG,R/KM_INTERPOLATED_SEG,TD_ACC_INTERPOLATED_SEG,TD_ACC_SEG,RA/H_INTERPOLATED_SEG,RA/°_INTERPOLATED_SEG,week
174428,2011-02-25 04:40:10,2011,2,25,-43.579,172.661,4.9,6.3,New Zealand,"[2008, 2013)",1,2011-02-20 04:40:10,2,14,56,49.8774577505882,379642.752942553,-23.4069473610627,16.2702917202524,244.054375803786,47.82205715156617,380660.5074335673,-23.519195883866686,0.611,0.6203388888888889,246.86760552352456,16.45784036823497,0,0,0,1,1,7,9,9,16,5,11,12,6,6,5,16,1
174430,2011-02-25 10:09:36,2011,2,25,-40.972,-16.524,4.8,10.0,No_Country,"[2008, 2013)",1,2011-02-20 10:09:36,2,43,56,49.8774577505882,379642.752942553,-23.4069473610627,16.2702917202524,244.054375803786,45.405219064697086,381857.23172086,-23.65118305232258,0.611,0.63132,250.1755352463296,16.67836901642197,0,0,0,1,1,3,9,9,16,5,11,12,6,6,5,16,1
174431,2011-02-25 10:16:30,2011,2,25,-24.72,-177.201,4.8,81.7,No_Country,"[2008, 2013)",1,2011-02-20 10:16:30,2,3,56,49.8774577505882,379642.752942553,-23.4069473610627,16.2702917202524,244.054375803786,45.3545982527997,381882.29717947263,-23.65394753111145,0.611,0.6315500000000001,250.2448200234844,16.682988001565626,0,0,2,1,2,0,9,9,16,5,11,12,6,6,5,16,1
174432,2011-02-25 10:32:36,2011,2,25,-40.989,-16.398,4.8,10.0,No_Country,"[2008, 2013)",1,2011-02-20 10:32:36,2,43,56,49.8774577505882,379642.752942553,-23.4069473610627,16.2702917202524,244.054375803786,45.23648302503912,381940.783249569,-23.660397981618804,0.611,0.6320866666666667,250.4064845035122,16.69376563356748,0,0,0,1,1,3,9,9,16,5,11,12,6,6,5,16,1
174434,2011-02-25 13:07:26,2011,2,25,17.843,-95.007,5.9,122.7,Mexico,"[2008, 2013)",4,2011-02-20 13:07:26,2,1,56,49.8774577505882,379642.752942553,-23.4069473610627,16.2702917202524,244.054375803786,44.100571569660495,382503.2424537048,-23.72243181724337,0.611,0.6372477777777777,251.9612081261399,16.79741387507599,0,0,3,1,4,1,9,8,16,5,11,13,6,6,5,16,1
174435,2011-02-25 19:12:31,2011,2,25,34.333,140.235,5.3,66.8,Japan,"[2008, 2013)",2,2011-02-20 19:12:31,2,5,56,49.8774577505882,379642.752942553,-23.4069473610627,16.2702917202524,244.054375803786,41.42219262132157,383829.47161049646,-23.868702126108417,0.611,0.6494172222222222,255.6271091975779,17.041807279838526,0,0,2,1,6,7,9,8,16,5,11,13,6,6,5,17,1
174438,2011-02-25 22:08:37,2011,2,25,-3.047,100.996,5.1,50.1,Indonesia,"[2008, 2013)",2,2011-02-20 22:08:37,2,7,56,49.8774577505882,379642.752942553,-23.4069473610627,16.2702917202524,244.054375803786,40.130261465505576,384469.1857063952,-23.93925643258949,0.611,0.6552872222222222,257.39537720583235,17.15969181372216,0,0,2,1,3,6,9,8,16,5,11,14,6,6,5,17,1
174440,2011-02-26 00:11:13,2011,2,26,-21.81,170.247,5.0,10.0,New Caledonia,"[2008, 2013)",1,2011-02-21 00:11:13,2,19,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,39.23669734850311,384911.3740085982,-23.97812453979711,0.659,0.659950300925926,258.6233728691329,17.241558191275526,0,0,0,1,2,7,7,7,17,5,14,14,6,6,5,17,1
174441,2011-02-26 01:03:46,2011,2,26,-20.489,168.412,5.1,36.5,New Caledonia,"[2008, 2013)",2,2011-02-21 01:03:46,2,19,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,38.87868403892523,385087.3837159498,-23.951150577810896,0.659,0.6644024537037038,259.136685538599,17.2757790359066,0,0,1,1,2,7,7,7,17,5,14,14,6,6,5,17,1
174442,2011-02-26 02:10:24,2011,2,26,-10.622,164.899,5.9,49.2,Solomon Islands,"[2008, 2013)",4,2011-02-21 02:10:24,2,33,57,39.3131143980895,384873.805174774,-23.9838820648262,17.2342538371884,258.513807557826,38.424723616568,385310.5638015799,-23.916947628232435,0.659,0.6700477777777778,259.7875653522766,17.319171023485104,0,0,2,1,3,7,7,7,17,5,14,14,6,6,5,17,1
